date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:41	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Jun%202019%2016:52:42%20GMT	http://www.teamvyoma.com/robots.txt		(from )
22:22:42	76530/76530	---M--	200	added ('OK')	text/html	etag:%2207cfb862691d41:0%22	http://www.teamvyoma.com/	D:/DocumentsD/Team%20Vyoma/Website/Team%20Vyoma%20Website/www.teamvyoma.com/index.html	(from )
22:22:44	1210/1210	---M--	200	added ('OK')	text/css	etag:%220c783df87f1d21:0%22	http://www.teamvyoma.com/css/reset.css	D:/DocumentsD/Team%20Vyoma/Website/Team%20Vyoma%20Website/www.teamvyoma.com/css/reset.css	(from http://www.teamvyoma.com/)
22:22:44	3395/3395	---M--	200	added ('OK')	image/png	etag:%220cd102735ecd21:0%22	http://www.teamvyoma.com/images/favicon.png	D:/DocumentsD/Team%20Vyoma/Website/Team%20Vyoma%20Website/www.teamvyoma.com/images/favicon.png	(from http://www.teamvyoma.com/)
22:22:44	54711/54711	---M--	200	added ('OK')	text/css	etag:%220c783df87f1d21:0%22	http://www.teamvyoma.com/css/animate.min.css	D:/DocumentsD/Team%20Vyoma/Website/Team%20Vyoma%20Website/www.teamvyoma.com/css/animate.min.css	(from http://www.teamvyoma.com/)
22:22:47	31049/31049	---M--	200	added ('OK')	text/css	etag:%2205e4a9b5d3d21:0%22	http://www.teamvyoma.com/css/font-awesome.min.css	D:/DocumentsD/Team%20Vyoma/Website/Team%20Vyoma%20Website/www.teamvyoma.com/css/font-awesome.min.css	(from http://www.teamvyoma.com/)
22:22:47	117328/117328	---M--	200	added ('OK')	text/css	etag:%220a5fe883dafd01:0%22	http://www.teamvyoma.com/css/bootstrap.min.css	D:/DocumentsD/Team%20Vyoma/Website/Team%20Vyoma%20Website/www.teamvyoma.com/css/bootstrap.min.css	(from http://www.teamvyoma.com/)
22:22:49	5052/5052	---M--	200	added ('OK')	text/css	etag:%220c783df87f1d21:0%22	http://www.teamvyoma.com/css/owl.carousel.css	D:/DocumentsD/Team%20Vyoma/Website/Team%20Vyoma%20Website/www.teamvyoma.com/css/owl.carousel.css	(from http://www.teamvyoma.com/)
22:22:49	1101/1101	---M--	200	added ('OK')	text/css	etag:%220c783df87f1d21:0%22	http://www.teamvyoma.com/css/socials.css	D:/DocumentsD/Team%20Vyoma/Website/Team%20Vyoma%20Website/www.teamvyoma.com/css/socials.css	(from http://www.teamvyoma.com/)
22:22:49	9255/9255	---M--	200	added ('OK')	text/css	etag:%22059c38d3dafd01:0%22	http://www.teamvyoma.com/css/player/YTPlayer.css	D:/DocumentsD/Team%20Vyoma/Website/Team%20Vyoma%20Website/www.teamvyoma.com/css/player/YTPlayer.css	(from http://www.teamvyoma.com/)
